Team,MarketSize
Cleveland Indians,Small
Colorado Rockies,Small
Milwaukee Brewers,Small
Detroit Tigers,Small
Oakland Athletics,Small
Arizona Diamondbacks,Small
Pittsburgh Pirates,Small
Kansas City Royals,Small
Tampa Bay Rays,Small
Miami Marlins,Small
Cincinnati Reds,Medium
Minnesota Twins,Medium
Chicago White Sox,Medium
Baltimore Orioles,Medium
San Diego Padres,Medium
Toronto Blue Jays,Medium
Seattle Mariners,Medium
Texas Rangers,Medium
Washington Nationals,Medium
Houston Astros,Medium
Philadelphia Phillies,Large
St. Louis Cardinals,Large
Atlanta Braves,Large
Los Angeles Angels,Large
New York Mets,Large
San Francisco Giants,Large
Chicago Cubs,Large
Los Angeles Dodgers,Large
Boston Red Sox,Large
New York Yankees,Large
