"Team","year","team","Payroll","tenmilplayers","W.L.","MarketSize","playersto50","adjServiceTime","payrollMil","adjServiceTimeSq","playersto50sq","payrollsq","tenmilplayerssq","Playoffs"
"Arizona Diamondbacks",2012,"ARI",78694333,0,0.5,"Small",6,5.53906976744186,78.694333,30.6812938885884,36,6192.79804631489,0,0
"Arizona Diamondbacks",2013,"ARI",89175000,2,0.5,"Small",6,5.68372093023256,89.175,32.3046836127637,36,7952.180625,4,0
"Arizona Diamondbacks",2014,"ARI",108141500,4,0.395,"Small",6,5.53767441860465,108.1415,30.6658379664683,36,11694.58402225,16,0
"Arizona Diamondbacks",2015,"ARI",67413000,1,0.488,"Small",5,4.1453488372093,67.413,17.1839169821525,25,4544.512569,1,0
"Arizona Diamondbacks",2016,"ARI",103981800,2,0.426,"Small",3,3.50697674418605,103.9818,12.2988858842618,9,10812.21473124,4,0
"Arizona Diamondbacks",2017,"ARI",103538700,2,0.574,"Small",3,5.30488372093023,103.5387,28.1417912925906,9,10720.26239769,4,1
"Arizona Diamondbacks",2018,"ARI",131887500,2,0.506,"Small",5,6.03837209302326,131.8875,36.4619375338021,25,17394.31265625,4,0
"Arizona Diamondbacks",2019,"ARI",133643566,3,0.525,"Small",4,5.17255813953488,133.643566,26.7553577068685,16,17860.6027331964,9,0
"Atlanta Braves",2012,"ATL",87584667,3,0.58,"Large",4,7.05232558139535,87.584667,49.7352961060033,16,7671.07389350089,9,1
"Atlanta Braves",2013,"ATL",92545083,3,0.593,"Large",4,5.2246511627907,92.545083,27.2969797728502,16,8564.59238747689,9,1
"Atlanta Braves",2014,"ATL",104404981,4,0.488,"Large",4,4.5906976744186,104.404981,21.0745051379123,16,10900.4000576104,16,0
"Atlanta Braves",2015,"ATL",125378899,5,0.414,"Large",5,6.59488372093023,125.378899,43.4924912925906,25,15719.8683144522,25,0
"Atlanta Braves",2016,"ATL",94580407,3,0.422,"Large",4,5.46813953488372,94.580407,29.9005499729583,16,8945.45338828565,9,0
"Atlanta Braves",2017,"ATL",141622442,6,0.444,"Large",5,6.52279069767442,141.622442,42.5467984856679,25,20056.9160780434,36,0
"Atlanta Braves",2018,"ATL",97999042,3,0.556,"Large",4,5.61488372093023,97.999042,31.5269191995673,16,9603.81223291776,9,1
"Atlanta Braves",2019,"ATL",156016041,5,0.599,"Large",5,6.64813953488372,156.016041,44.1977592752839,25,24341.0050493137,25,1
"Baltimore Orioles",2012,"BAL",97650333,2,0.574,"Medium",6,6.31558139534884,97.650333,39.8865683612764,36,9535.58753501089,4,1
"Baltimore Orioles",2013,"BAL",99816833,2,0.525,"Medium",6,4.90325581395349,99.816833,24.0419175770687,36,9963.40015014989,4,0
"Baltimore Orioles",2014,"BAL",115858445,4,0.593,"Medium",5,4.76046511627907,115.858445,22.6620281233099,25,13423.179277818,16,1
"Baltimore Orioles",2015,"BAL",119140500,4,0.5,"Medium",6,4.81837209302326,119.1405,23.2167096268254,36,14194.45874025,16,0
"Baltimore Orioles",2016,"BAL",163356115,6,0.549,"Medium",6,4.89418604651163,163.356115,23.9530570578691,36,26685.2203078932,36,1
